"","Abbreviation","Title","FoR1","FoR.method","FoRCode","Category"
"588","Clin Orthop Surg","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"589","Clin Pediatr Endocrinol","Clinical Pediatrics","Paediatrics And Reproductive Medicine","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"590","Clin Pharmacokinet","Clinical Pharmacokinetics","Pharmacology And Pharmaceutical Sciences","Chosen.by.ERA","Medical and health sciences","Pharmacology And Pharmaceutical Sciences"
"591","Clin Pharmacol","","Pharmacology And Pharmaceutical Sciences","Chosen.by.Luke","Medical and health sciences","Pharmacology And Pharmaceutical Sciences"
"592","Clin Pharmacol Ther","Clinical Pharmacology and Therapeutics","Pharmacology And Pharmaceutical Sciences","Chosen.by.ERA","Medical and health sciences","Pharmacology And Pharmaceutical Sciences"
"593","Clin Physiol Funct Imaging","Clinical Physiology and Functional Imaging","Medical Physiology","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"594","Clin Pract","","Pharmacology And Pharmaceutical Sciences","Chosen.by.Luke","Medical and health sciences","Pharmacology And Pharmaceutical Sciences"
"595","Clin Pract Epidemiol Ment Health","Clinical Practice and Epidemiology in Mental Health","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"596","Clin Proteomics","","Biological Sciences","Chosen.by.Luke","Biological sciences","Biological Sciences"
"597","Clin Psychol Psychother","Clinical Psychology and Psychotherapy: an international journal of theory and practice","Psychology","Chosen.by.ERA","Psychology and cognitive sciences","Psychology and sociology"
"598","Clin Psychopharmacol Neurosci","","Pharmacology And Pharmaceutical Sciences","Chosen.by.Luke","Medical and health sciences","Pharmacology And Pharmaceutical Sciences"
"599","Clin Radiol","Clinical Radiology","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"600","Clin Rehabil","Clinical Rehabilitation","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"601","Clin Res Cardiol","Clinical Research in Cardiology","Cardiovascular Medicine And Haematology","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"602","Clin Respir J","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"603","Clin Rheumatol","Clinical Rheumatology","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"604","Clin Sarcoma Res","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"605","Clin Sci (Lond)","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"606","Clin Ther","Clinical Therapeutics: the international peer-reviewed journal of drug therapy","Pharmacology And Pharmaceutical Sciences","Chosen.by.ERA","Medical and health sciences","Pharmacology And Pharmaceutical Sciences"
"607","Clin Toxicol (Phila)","Clinical Toxicology","Pharmacology And Pharmaceutical Sciences","Chosen.by.ERA","Medical and health sciences","Pharmacology And Pharmaceutical Sciences"
"608","Clin Transl Allergy","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"609","Clin Transl Gastroenterol","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"610","Clin Transl Med","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"611","Clin Transl Oncol","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"612","Clin Transl Sci","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"613","Clin Transplant","Clinical Transplantation","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"614","Clin Trials","Clinical Trials","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"615","Clinicoecon Outcomes Res","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"616","Clinics","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"617","Clinics (Sao Paulo)","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"618","CNS Drugs","CNS Drugs","Pharmacology And Pharmaceutical Sciences","Chosen.by.ERA","Medical and health sciences","Pharmacology And Pharmaceutical Sciences"
"619","CNS Neurol Disord Drug Targets","CNS and Neurological Disorders","Neurosciences","Chosen.by.ERA","Medical and health sciences","Neurosciences"
"620","CNS Spectr","CNS Spectrums: the international journal of neuropsychiatric medicine","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"621","Cochlear Implants Int","Cochlear Implants International","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"622","Cogn Affect Behav Neurosci","","Neurosciences","Chosen.by.Luke","Medical and health sciences","Neurosciences"
"623","Cogn Behav Ther","Cognitive Behaviour Therapy","Psychology","Chosen.by.ERA","Psychology and cognitive sciences","Psychology and sociology"
"624","Cogn Dev","Cognitive Development","Artificial Intelligence And Image Processing","Chosen.by.ERA","Information and computing sciences","Computer sciences"
"625","Cogn Emot","","Psychology","Chosen.by.Luke","Psychology and cognitive sciences","Psychology and sociology"
"626","Cogn Neurodyn","Cognitive Neurodynamics","Physiology ","Chosen.by.ERA","Biological sciences","Physiology"
"627","Cogn Neuropsychiatry","Cognitive Neuropsychiatry","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"628","Cogn Neuropsychol","Cognitive Neuropsychology","Neurosciences","Chosen.by.ERA","Medical and health sciences","Neurosciences"
"629","Cogn Neurosci","Cognitive Neuroscience","Neurosciences","Chosen.by.ERA","Medical and health sciences","Neurosciences"
"630","Cogn Process","Cognitive Processing: international quarterly of cognitive science","Psychology","Chosen.by.ERA","Psychology and cognitive sciences","Psychology and sociology"
"631","Cognit Ther Res","Cognitive Therapy and Research","Psychology","Chosen.by.ERA","Psychology and cognitive sciences","Psychology and sociology"
"632","Cognition","Cognition","Information And Computing Sciences","Chosen.by.ERA","Information and computing sciences","Computer sciences"
"633","Colorectal Dis","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"634","Commun Integr Biol","","Biological Sciences","Chosen.by.Luke","Biological sciences","Biological Sciences"
"635","Community Ment Health J","Community Mental Health Journal","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"636","Comp Clin Path","Comparative Clinical Pathology","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"637","Comp Cytogenet","Comparative Cytogenetics: international journal of plant and animal cytogenetics, karyosystematics and molecular systematics","Genetics ","Chosen.by.ERA","Biological sciences","Genetics"
"638","Comp Funct Genomics","","Genetics ","Chosen.by.Luke","Biological sciences","Genetics"
"639","Comp Hepatol","Comparative Hepatology","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"640","Comp Immunol Microbiol Infect Dis","Comparative Immunology, Microbiology and Infectious Diseases: the international journal for medical and veterinary researchers and practitioners","Biological Sciences","Chosen.by.ERA","Biological sciences","Biological Sciences"
"641","Comput Intell Neurosci","Computational Intelligence and Neuroscience","Neurosciences","Chosen.by.ERA","Medical and health sciences","Neurosciences"
"642","Comput Math Methods Med","","Mathematical Sciences","Chosen.by.Luke","Mathematical sciences","Informatics, mathematics and physics"
"643","Comput Struct Biotechnol J","","Mathematical Sciences","Chosen.by.Luke","Mathematical sciences","Informatics, mathematics and physics"
"644","Confl Health","Conflict and Health","Public Health And Health Services","Chosen.by.ERA","Medical and health sciences","Public Health And Health Services"
"645","Conscious Cogn","Consciousness and Cognition","Psychology","Chosen.by.ERA","Psychology and cognitive sciences","Psychology and sociology"
"646","Conserv Biol","Conservation Biology","Environmental Sciences","Chosen.by.ERA","Environmental sciences","Ecology, evolution and earth sciences"
"647","Contact Dermatitis","Contact Dermatitis","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"648","Contemp Clin Dent","Contemporary Clinical Dentistry","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"649","Contemp Oncol (Pozn)","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"650","Contrast Media Mol Imaging","Contrast Media and Molecular Imaging","Medicinal And Biomolecular Chemistry","Chosen.by.ERA","Chemical sciences","Biochemistry And Cell Biology"
"651","COPD","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"652","Core Evid","","Pharmacology And Pharmaceutical Sciences","Chosen.by.Luke","Medical and health sciences","Pharmacology And Pharmaceutical Sciences"
"653","Cortex","Cortex","Neurosciences","Chosen.by.ERA","Medical and health sciences","Neurosciences"
"654","Cost Eff Resour Alloc","","Multidisciplinary","Chosen.by.Luke","Multidisciplinary","Multidisciplinary"
"655","Cough","Cough","Cardiovascular Medicine And Haematology","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"656","CPT Pharmacometrics Syst Pharmacol","","Pharmacology And Pharmaceutical Sciences","Chosen.by.Luke","Medical and health sciences","Pharmacology And Pharmaceutical Sciences"
"657","Crit Care","Critical Care (UK)","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"658","Crit Care Res Pract","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"659","Crit Rev Toxicol","Critical Reviews in Toxicology","Pharmacology And Pharmaceutical Sciences","Chosen.by.ERA","Medical and health sciences","Pharmacology And Pharmaceutical Sciences"
"660","Crit Ultrasound J","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"661","Croat Med J","Croatian Medical Journal","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"662","Cryobiology","Cryobiology","Biochemistry And Cell Biology","Chosen.by.ERA","Biological sciences","Biochemistry And Cell Biology"
"663","Cult Brain","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"664","Cult Med Psychiatry","Culture, Medicine and Psychiatry: an international journal of comparative cross-cultural research","Multidisciplinary","Chosen.by.ERA","Multidisciplinary","Multidisciplinary"
"665","Curr Alzheimer Res","Current Alzheimer Research","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"666","Curr Biol","Current Biology","Biological Sciences","Chosen.by.ERA","Biological sciences","Biological Sciences"
"667","Curr Cardiol Rev","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"668","Curr Cardiovasc Imaging Rep","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"669","Curr Chem Genomics","","Genetics ","Chosen.by.Luke","Biological sciences","Genetics"
"670","Curr Control Trials Cardiovasc Med","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"671","Curr Eye Res","Current Eye Research","Multidisciplinary","Chosen.by.ERA","Multidisciplinary","Multidisciplinary"
"672","Curr Genet","Current Genetics: lower eukaryotes and organelles","Genetics ","Chosen.by.ERA","Biological sciences","Genetics"
"673","Curr Genomics","Current Genomics","Genetics ","Chosen.by.ERA","Biological sciences","Genetics"
"674","Curr Gerontol Geriatr Res","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"675","Curr Health Sci J","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
